DATE,T10YIE
2018-01-07,2.0000000000000000
2018-01-14,2.0180000000000000
2018-01-21,2.0450000000000000
2018-01-28,2.0700000000000000
2018-02-04,2.1100000000000000
2018-02-11,2.0880000000000000
2018-02-18,2.0820000000000000
2018-02-25,2.1125000000000000
2018-03-04,2.1200000000000000
2018-03-11,2.1220000000000000
2018-03-18,2.0840000000000000
2018-03-25,2.0800000000000000
2018-04-01,2.0625000000000000
2018-04-08,2.0720000000000000
2018-04-15,2.1040000000000000
2018-04-22,2.1520000000000000
2018-04-29,2.1740000000000000
2018-05-06,2.1640000000000000
2018-05-13,2.1660000000000000
2018-05-20,2.1620000000000000
2018-05-27,2.1320000000000000
2018-06-03,2.0650000000000000
2018-06-10,2.1260000000000000
2018-06-17,2.1240000000000000
2018-06-24,2.1180000000000000
2018-07-01,2.1080000000000000
2018-07-08,2.1275000000000000
2018-07-15,2.1160000000000000
2018-07-22,2.0960000000000000
2018-07-29,2.1160000000000000
2018-08-05,2.1240000000000000
2018-08-12,2.1100000000000000
2018-08-19,2.0860000000000000
2018-08-26,2.0820000000000000
2018-09-02,2.1040000000000000
2018-09-09,2.0925000000000000
2018-09-16,2.1080000000000000
2018-09-23,2.1360000000000000
2018-09-30,2.1500000000000000
2018-10-07,2.1480000000000000
2018-10-14,2.1425000000000000
2018-10-21,2.1200000000000000
2018-10-28,2.0760000000000000
2018-11-04,2.0480000000000000
2018-11-11,2.0620000000000000
2018-11-18,2.0100000000000000
2018-11-25,1.9725000000000000
2018-12-02,1.9520000000000000
2018-12-09,1.9225000000000000
2018-12-16,1.8340000000000000
2018-12-23,1.7900000000000000
2018-12-30,1.7475000000000000
2019-01-06,1.7125000000000000
2019-01-13,1.8140000000000000
2019-01-20,1.8120000000000000
2019-01-27,1.7875000000000000
2019-02-03,1.8260000000000000
2019-02-10,1.8520000000000000
2019-02-17,1.8440000000000000
2019-02-24,1.8950000000000000
2019-03-03,1.9360000000000000
2019-03-10,1.9160000000000000
2019-03-17,1.9220000000000000
2019-03-24,1.9460000000000000
2019-03-31,1.8580000000000000
2019-04-07,1.9020000000000000
2019-04-14,1.9300000000000000
2019-04-21,1.9475000000000000
2019-04-28,1.9620000000000000
2019-05-05,1.9280000000000000
2019-05-12,1.8760000000000000
2019-05-19,1.8380000000000000
2019-05-26,1.7840000000000000
2019-06-02,1.7400000000000000
2019-06-09,1.7380000000000000
2019-06-16,1.6940000000000000
2019-06-23,1.6780000000000000
2019-06-30,1.6900000000000000
2019-07-07,1.6700000000000000
2019-07-14,1.7380000000000000
2019-07-21,1.7820000000000000
2019-07-28,1.7940000000000000
2019-08-04,1.7340000000000000
2019-08-11,1.6300000000000000
2019-08-18,1.5780000000000000
2019-08-25,1.5440000000000000
2019-09-01,1.5560000000000000
2019-09-08,1.5275000000000000
2019-09-15,1.6140000000000000
2019-09-22,1.6280000000000000
2019-09-29,1.5780000000000000
2019-10-06,1.5060000000000000
2019-10-13,1.5120000000000000
2019-10-20,1.5800000000000000
2019-10-27,1.6200000000000000
2019-11-03,1.5900000000000000
2019-11-10,1.6760000000000000
2019-11-17,1.6525000000000000
2019-11-24,1.6220000000000000
2019-12-01,1.6200000000000000
2019-12-08,1.6600000000000000
2019-12-15,1.7020000000000000
2019-12-22,1.7560000000000000
2019-12-29,1.7425000000000000
2020-01-05,1.7725000000000000
2020-01-12,1.7480000000000000
2020-01-19,1.7560000000000000
2020-01-26,1.7100000000000000
2020-02-02,1.6420000000000000
2020-02-09,1.6520000000000000
2020-02-16,1.6600000000000000
2020-02-23,1.6350000000000000
2020-03-01,1.5200000000000000
2020-03-08,1.4060000000000000
2020-03-15,0.95400000000000000000
2020-03-22,0.64800000000000000000
2020-03-29,0.97000000000000000000
2020-04-05,0.96800000000000000000
2020-04-12,1.18250000000000000000
2020-04-19,1.15600000000000000000
2020-04-26,1.02400000000000000000
2020-05-03,1.11600000000000000000
2020-05-10,1.09400000000000000000
2020-05-17,1.08800000000000000000
2020-05-24,1.14800000000000000000
2020-05-31,1.15000000000000000000
2020-06-07,1.2120000000000000
2020-06-14,1.2460000000000000
2020-06-21,1.2680000000000000
2020-06-28,1.3400000000000000
2020-07-05,1.3650000000000000
2020-07-12,1.4200000000000000
2020-07-19,1.4220000000000000
2020-07-26,1.4840000000000000
2020-08-02,1.5260000000000000
2020-08-09,1.6000000000000000
2020-08-16,1.6460000000000000
2020-08-23,1.6540000000000000
2020-08-30,1.7180000000000000
2020-09-06,1.7280000000000000
2020-09-13,1.6825000000000000
2020-09-20,1.6660000000000000
2020-09-27,1.6000000000000000
2020-10-04,1.6300000000000000
2020-10-11,1.7000000000000000
2020-10-18,1.6975000000000000
2020-10-25,1.7360000000000000
2020-11-01,1.7080000000000000
2020-11-08,1.6760000000000000
2020-11-15,1.7300000000000000
2020-11-22,1.7020000000000000
2020-11-29,1.7375000000000000
2020-12-06,1.8360000000000000
2020-12-13,1.8860000000000000
2020-12-20,1.9200000000000000
2020-12-27,1.9575000000000000
2021-01-03,1.9700000000000000
