DATE,EFFR
2018-01-07,1.4200000000000000
2018-01-14,1.4200000000000000
2018-01-21,1.4200000000000000
2018-01-28,1.4200000000000000
2018-02-04,1.4040000000000000
2018-02-11,1.4200000000000000
2018-02-18,1.4200000000000000
2018-02-25,1.4200000000000000
2018-03-04,1.4060000000000000
2018-03-11,1.4200000000000000
2018-03-18,1.4240000000000000
2018-03-25,1.5340000000000000
2018-04-01,1.6780000000000000
2018-04-08,1.6880000000000000
2018-04-15,1.6900000000000000
2018-04-22,1.6920000000000000
2018-04-29,1.7000000000000000
2018-05-06,1.6980000000000000
2018-05-13,1.7000000000000000
2018-05-20,1.7000000000000000
2018-05-27,1.7000000000000000
2018-06-03,1.7000000000000000
2018-06-10,1.7000000000000000
2018-06-17,1.7800000000000000
2018-06-24,1.9140000000000000
2018-07-01,1.9140000000000000
2018-07-08,1.9100000000000000
2018-07-15,1.9100000000000000
2018-07-22,1.9100000000000000
2018-07-29,1.9100000000000000
2018-08-05,1.9100000000000000
2018-08-12,1.9100000000000000
2018-08-19,1.9140000000000000
2018-08-26,1.9200000000000000
2018-09-02,1.9180000000000000
2018-09-09,1.9200000000000000
2018-09-16,1.9200000000000000
2018-09-23,1.9200000000000000
2018-09-30,2.0300000000000000
2018-10-07,2.1800000000000000
2018-10-14,2.1800000000000000
2018-10-21,2.1860000000000000
2018-10-28,2.1980000000000000
2018-11-04,2.1980000000000000
2018-11-11,2.1980000000000000
2018-11-18,2.2000000000000000
2018-11-25,2.2000000000000000
2018-12-02,2.2000000000000000
2018-12-09,2.1960000000000000
2018-12-16,2.1920000000000000
2018-12-23,2.2800000000000000
2018-12-30,2.4000000000000000
2019-01-06,2.4000000000000000
2019-01-13,2.4000000000000000
2019-01-20,2.4000000000000000
2019-01-27,2.4000000000000000
2019-02-03,2.4000000000000000
2019-02-10,2.4000000000000000
2019-02-17,2.4000000000000000
2019-02-24,2.4000000000000000
2019-03-03,2.4000000000000000
2019-03-10,2.4000000000000000
2019-03-17,2.4000000000000000
2019-03-24,2.4060000000000000
2019-03-31,2.4100000000000000
2019-04-07,2.4100000000000000
2019-04-14,2.4100000000000000
2019-04-21,2.4220000000000000
2019-04-28,2.4400000000000000
2019-05-05,2.4320000000000000
2019-05-12,2.3900000000000000
2019-05-19,2.3880000000000000
2019-05-26,2.3840000000000000
2019-06-02,2.3925000000000000
2019-06-09,2.3760000000000000
2019-06-16,2.3680000000000000
2019-06-23,2.3740000000000000
2019-06-30,2.3840000000000000
2019-07-07,2.4050000000000000
2019-07-14,2.4020000000000000
2019-07-21,2.4080000000000000
2019-07-28,2.4000000000000000
2019-08-04,2.2940000000000000
2019-08-11,2.1240000000000000
2019-08-18,2.1240000000000000
2019-08-25,2.1240000000000000
2019-09-01,2.1220000000000000
2019-09-08,2.1275000000000000
2019-09-15,2.1320000000000000
2019-09-22,2.1200000000000000
2019-09-29,1.8760000000000000
2019-10-06,1.8560000000000000
2019-10-13,1.8200000000000000
2019-10-20,1.8750000000000000
2019-10-27,1.8460000000000000
2019-11-03,1.7240000000000000
2019-11-10,1.5540000000000000
2019-11-17,1.5500000000000000
2019-11-24,1.5500000000000000
2019-12-01,1.5525000000000000
2019-12-08,1.5520000000000000
2019-12-15,1.5500000000000000
2019-12-22,1.5520000000000000
2019-12-29,1.5500000000000000
2020-01-05,1.5500000000000000
2020-01-12,1.5480000000000000
2020-01-19,1.5420000000000000
2020-01-26,1.5500000000000000
2020-02-02,1.5680000000000000
2020-02-09,1.5880000000000000
2020-02-16,1.5800000000000000
2020-02-23,1.5875000000000000
2020-03-01,1.5800000000000000
2020-03-08,1.2900000000000000
2020-03-15,1.09400000000000000000
2020-03-22,0.22000000000000000000
2020-03-29,0.11400000000000000000
2020-04-05,0.06600000000000000000
2020-04-12,0.05000000000000000000
2020-04-19,0.05000000000000000000
2020-04-26,0.04800000000000000000
2020-05-03,0.04400000000000000000
2020-05-10,0.05000000000000000000
2020-05-17,0.05000000000000000000
2020-05-24,0.05000000000000000000
2020-05-31,0.05000000000000000000
2020-06-07,0.06000000000000000000
2020-06-14,0.07600000000000000000
2020-06-21,0.09000000000000000000
2020-06-28,0.08000000000000000000
2020-07-05,0.08400000000000000000
2020-07-12,0.09000000000000000000
2020-07-19,0.09400000000000000000
2020-07-26,0.09400000000000000000
2020-08-02,0.10000000000000000000
2020-08-09,0.10000000000000000000
2020-08-16,0.10000000000000000000
2020-08-23,0.09200000000000000000
2020-08-30,0.08800000000000000000
2020-09-06,0.09000000000000000000
2020-09-13,0.09000000000000000000
2020-09-20,0.09000000000000000000
2020-09-27,0.09000000000000000000
2020-10-04,0.09000000000000000000
2020-10-11,0.09000000000000000000
2020-10-18,0.09000000000000000000
2020-10-25,0.09000000000000000000
2020-11-01,0.09000000000000000000
2020-11-08,0.09000000000000000000
2020-11-15,0.09000000000000000000
2020-11-22,0.08600000000000000000
2020-11-29,0.08000000000000000000
2020-12-06,0.09000000000000000000
2020-12-13,0.09000000000000000000
2020-12-20,0.09000000000000000000
2020-12-27,0.09000000000000000000
2021-01-03,0.09000000000000000000
